圣墟,辰东,玄幻,东方玄幻,在破败中崛起，在寂灭中复苏。沧海成尘，雷电枯竭，那一缕幽雾又一次临近大地，世间的枷锁被打开了，一个全新的世界就此揭开神秘的一角……,350.97万字
飞剑问道,我吃西红柿,仙侠,古典仙侠,在这个世界，有狐仙、河神、水怪、大妖，也有求长生的修行者。修行者们，开法眼，可看妖魔鬼怪。炼一口飞剑，可千里杀敌。千里眼、顺风耳，更可探查四方。……秦府二公子‘秦云’，便是一位修行者……,84.18万字
修真聊天群,圣骑士的传说,都市,异术超能,某天，宋书航意外加入了一个仙侠中二病资深患者的交流群，里面的群友们都以‘道友’相称，群名片都是各种府主、洞主、真人、天师。连群主走失的宠物犬都称为大妖犬离家出走。整天聊的是炼丹、闯秘境、炼功经验啥的。,541.9万字
一念永恒,耳根,仙侠,幻想修仙,一念成沧海，一念化桑田。一念斩千魔，一念诛万仙。唯我念……永恒这是耳根继《仙逆》《求魔》《我欲封天》后，创作的第四部长篇小说《一念永恒》,369.04万字
汉乡,孑与2,历史,架空历史,我们接受了祖先的遗产，这让中华辉煌了数千年，我们是如此的心安理得，从未想过要回归那个在刀耕火种中苦苦寻找出路的时代。反哺我们苦难的祖先，并从中找到故乡的真正意义，将是本书要讲的故事。,134.55万字
斗罗大陆III龙王传说,唐家三少,玄幻,异世大陆,伴随着魂导科技的进步，斗罗大陆上的人类征服了海洋，又发现了两片大陆。魂兽也随着人类魂师的猎杀无度走向灭亡，沉睡无数年的魂兽之王在星斗大森林最后的净土苏醒，它要带领仅存的族人，向人类复仇！唐舞麟立志要成,411.5万字
牧神记,宅猪,玄幻,东方玄幻,大墟的祖训说，天黑，别出门。大墟残老村的老弱病残们从江边捡到了一个婴儿，取名秦牧，含辛茹苦将他养大。这一天夜幕降临，黑暗笼罩大墟，秦牧走出了家门……做个春风中荡漾的反派吧！瞎子对他说。秦牧的反派之路，,177.59万字
异常生物见闻录,远瞳,科幻,时空穿梭,郝仁，人如其名，是个好人，理想是平平安安过一辈子，当个穷不死但也发不了财的小房东——起码在他家里住进去一堆神经病生物之前是这样。一栋偏僻陈旧的大屋，一堆不怎么正常的人外生物，还有一份来自“神明”的劳动,523.34万字
天道图书馆,横扫天涯,玄幻,异世大陆,【2017最火玄幻作品，海外点推双榜第一】张悬穿越异界，成了一名光荣的教师，脑海中多出了一个神秘的图书馆。只要他看过的东西，无论人还是物，都能自动形成书籍，记录下对方各种各样的缺点，于是，他牛大了！教,325.05万字
大王饶命,会说话的肘子,都市,都市生活,灵气复苏的时代，寂静生活碎掉了，仿佛雷霆贯穿长空，电光直射天心，雨沙沙地落下。凡逆我们的终将死去，这就是法则。……这是一个吕树依靠毒鸡汤成为大魔王的故事。,132.19万字
极道天魔,滚开,仙侠,修真文明,妖魔横行，世人苦难。神兵魔刃，遮耀天下。手机上的一款游戏修改器，意外成了路胜脑海里的异能。也成了他在这个黑暗乱世唯一的依靠。~~~~~~~欢迎加入企鹅群滚开书友群，群号码：331453690V群号码：,240.09万字
我的1979,争斤论两花花帽,都市,都市生活,一觉醒来，回到70年代，再次面对过往，你猜不透的结局..........,256.68万字
带着仓库到大明,迪巴拉爵士,历史,两宋元明,方醒穿了，带着两个仓库穿了！别人穿越是带着王霸之气，方醒却是只想种田！“我只想在这个时代悠闲的活着！”坐拥大别墅，顺便教几个弟子，努力让他们往上爬，好给自己当靠山！可谁想弟子有些不靠谱，居然是....,428.31万字
奶爸的文艺人生,寒门,都市,娱乐明星,“粑粑！”刚穿越到平行世界，就看到有个精致可爱的小女孩喊自己爸爸，杨轶表示有些懵逼。好吧，曦曦是百分之百的亲女儿，而孩子她妈居然是高冷绝美的过气歌后。这乐子闹大咯！问题也接踵而至。怎么哄娃？前世是孤胆,225.45万字
重生之财源滚滚,老鹰吃小鸡,都市,都市生活,当重生成为一种潮流，李东也幸运地赶上了重生的马车。上辈子遗憾太多，这辈子且让他一一弥补！看小人物重回2004，亲情爱情双丰收，发家致富两不误！（读者群:250605308，全订群号:572213998,615.87万字
